Datetime,100035541 (Neutor),101035541 (Neutor stadteinwärts),102035541 (Neutor stadtauswärts),100035541-status,101035541-status,102035541-status
2022-05-04 10:15,179,103,76,0,0,0
2022-05-04 10:30,154,77,77,0,0,0
2022-05-04 10:45,174,93,81,0,0,0
2022-05-04 11:00,163,84,79,0,0,0
2022-05-04 11:15,175,97,78,0,0,0
2022-05-04 11:30,209,112,97,0,0,0
2022-05-04 11:45,442,213,229,0,0,0
2022-05-04 12:00,363,203,160,0,0,0
2022-05-04 12:15,240,127,113,0,0,0
2022-05-04 12:30,250,123,127,0,0,0
2022-05-04 12:45,250,128,122,0,0,0
2022-05-04 13:00,274,131,143,0,0,0
2022-05-04 13:15,258,113,145,0,0,0
2022-05-04 13:30,259,100,159,0,0,0
2022-05-04 13:45,449,222,227,0,0,0
2022-05-04 14:00,391,179,212,0,0,0
2022-05-04 14:15,271,124,147,0,0,0
2022-05-04 14:30,219,118,101,0,0,0
2022-05-04 14:45,264,122,142,0,0,0
2022-05-04 15:00,257,120,137,0,0,0
2022-05-04 15:15,218,106,112,0,0,0
2022-05-04 15:30,310,158,152,0,0,0
2022-05-04 15:45,470,224,246,0,0,0
2022-05-04 16:00,478,248,230,0,0,0
2022-05-04 16:15,362,178,184,0,0,0
2022-05-04 16:30,295,140,155,0,0,0
2022-05-04 16:45,339,156,183,0,0,0
2022-05-04 17:00,337,164,173,0,0,0
2022-05-04 17:15,344,180,164,0,0,0
2022-05-04 17:30,359,177,182,0,0,0
2022-05-04 17:45,505,186,319,0,0,0
2022-05-04 18:00,507,206,301,0,0,0
2022-05-04 18:15,352,173,179,0,0,0
2022-05-04 18:30,291,131,160,0,0,0
2022-05-04 18:45,332,174,158,0,0,0
2022-05-04 19:00,293,155,138,0,0,0
2022-05-04 19:15,283,153,130,0,0,0
2022-05-04 19:30,304,165,139,0,0,0
2022-05-04 19:45,346,165,181,0,0,0
2022-05-04 20:00,307,161,146,0,0,0
2022-05-04 20:15,238,121,117,0,0,0
2022-05-04 20:30,229,126,103,0,0,0
2022-05-04 20:45,234,116,118,0,0,0
2022-05-04 21:00,205,91,114,0,0,0
2022-05-04 21:15,153,68,85,0,0,0
2022-05-04 21:30,152,65,87,0,0,0
2022-05-04 21:45,176,58,118,0,0,0
2022-05-04 22:00,121,36,85,0,0,0
2022-05-04 22:15,113,44,69,0,0,0
2022-05-04 22:30,100,37,63,0,0,0
2022-05-04 22:45,81,29,52,0,0,0
2022-05-04 23:00,125,47,78,0,0,0
2022-05-04 23:15,159,105,54,0,0,0
2022-05-04 23:30,104,66,38,0,0,0
2022-05-04 23:45,177,108,69,0,0,0
2022-05-05 00:00,132,89,43,0,0,0
2022-05-05 00:15,120,70,50,0,0,0
2022-05-05 00:30,83,45,38,0,0,0
2022-05-05 00:45,61,38,23,0,0,0
2022-05-05 01:00,52,7,45,0,0,0
2022-05-05 01:15,43,15,28,0,0,0
2022-05-05 01:30,45,12,33,0,0,0
2022-05-05 01:45,22,4,18,0,0,0
2022-05-05 02:00,45,5,40,0,0,0
2022-05-05 02:15,30,3,27,0,0,0
2022-05-05 02:30,35,4,31,0,0,0
2022-05-05 02:45,43,4,39,0,0,0
2022-05-05 03:00,38,8,30,0,0,0
2022-05-05 03:15,68,5,63,0,0,0
2022-05-05 03:30,61,2,59,0,0,0
2022-05-05 03:45,48,4,44,0,0,0
2022-05-05 04:00,53,9,44,0,0,0
2022-05-05 04:15,64,5,59,0,0,0
2022-05-05 04:30,76,9,67,0,0,0
2022-05-05 04:45,66,12,54,0,0,0
2022-05-05 05:00,44,7,37,0,0,0
2022-05-05 05:15,58,8,50,0,0,0
2022-05-05 05:30,84,17,67,0,0,0
2022-05-05 05:45,28,15,13,0,0,0
2022-05-05 06:00,49,27,22,0,0,0
2022-05-05 06:15,43,31,12,0,0,0
2022-05-05 06:30,53,35,18,0,0,0
2022-05-05 06:45,80,43,37,0,0,0
2022-05-05 07:00,115,76,39,0,0,0
2022-05-05 07:15,185,125,60,0,0,0
2022-05-05 07:30,273,202,71,0,0,0
2022-05-05 07:45,333,193,140,0,0,0
2022-05-05 08:00,379,217,162,0,0,0
2022-05-05 08:15,306,194,112,0,0,0
2022-05-05 08:30,205,127,78,0,0,0
2022-05-05 08:45,265,136,129,0,0,0
2022-05-05 09:00,169,80,89,0,0,0
2022-05-05 09:15,149,91,58,0,0,0
2022-05-05 09:30,168,89,79,0,0,0
2022-05-05 09:45,389,198,191,0,0,0
2022-05-05 10:00,448,223,225,0,0,0
2022-05-05 10:15,173,91,82,0,0,0
2022-05-05 10:30,109,63,46,0,0,0
2022-05-05 10:45,156,63,93,0,0,0
2022-05-05 11:00,160,78,82,0,0,0
2022-05-05 11:15,164,76,88,0,0,0
2022-05-05 11:30,173,89,84,0,0,0
2022-05-05 11:45,368,189,179,0,0,0
2022-05-05 12:00,410,221,189,0,0,0
2022-05-05 12:15,224,117,107,0,0,0
2022-05-05 12:30,188,87,101,0,0,0
2022-05-05 12:45,214,109,105,0,0,0
2022-05-05 13:00,212,98,114,0,0,0
2022-05-05 13:15,224,101,123,0,0,0
2022-05-05 13:30,226,112,114,0,0,0
2022-05-05 13:45,402,183,219,0,0,0
2022-05-05 14:00,396,187,209,0,0,0
2022-05-05 14:15,266,134,132,0,0,0
2022-05-05 14:30,219,108,111,0,0,0
2022-05-05 14:45,255,110,145,0,0,0
2022-05-05 15:00,178,79,99,0,0,0
2022-05-05 15:15,233,122,111,0,0,0
2022-05-05 15:30,282,130,152,0,0,0
2022-05-05 15:45,458,219,239,0,0,0
2022-05-05 16:00,410,206,204,0,0,0
2022-05-05 16:15,324,161,163,0,0,0
2022-05-05 16:30,290,144,146,0,0,0
2022-05-05 16:45,277,128,149,0,0,0
2022-05-05 17:00,299,147,152,0,0,0
2022-05-05 17:15,295,141,154,0,0,0
2022-05-05 17:30,364,162,202,0,0,0
2022-05-05 17:45,465,191,274,0,0,0
2022-05-05 18:00,433,231,202,0,0,0
2022-05-05 18:15,350,154,196,0,0,0
2022-05-05 18:30,320,141,179,0,0,0
2022-05-05 18:45,233,130,103,0,0,0
2022-05-05 19:00,241,131,110,0,0,0
2022-05-05 19:15,243,117,126,0,0,0
2022-05-05 19:30,241,106,135,0,0,0
2022-05-05 19:45,325,141,184,0,0,0
2022-05-05 20:00,244,116,128,0,0,0
2022-05-05 20:15,208,116,92,0,0,0
2022-05-05 20:30,176,84,92,0,0,0
2022-05-05 20:45,171,70,101,0,0,0
2022-05-05 21:00,97,50,47,0,0,0
2022-05-05 21:15,118,61,57,0,0,0
2022-05-05 21:30,112,44,68,0,0,0
2022-05-05 21:45,130,45,85,0,0,0
2022-05-05 22:00,141,42,99,0,0,0
2022-05-05 22:15,122,63,59,0,0,0
2022-05-05 22:30,91,17,74,0,0,0
2022-05-05 22:45,79,18,61,0,0,0
2022-05-05 23:00,86,20,66,0,0,0
2022-05-05 23:15,101,31,70,0,0,0
2022-05-05 23:30,78,22,56,0,0,0
2022-05-05 23:45,63,10,53,0,0,0
